RECORDNAME,INTID,NBL,NBT,NBR,SBL,SBT,SBR,EBL,EBT,EBR,WBL,WBT,WBR,PED,HOLD
DetectPhase4,78,,0,,0,0,,,,,0,,,,
SwitchPhase,78,,0,,0,0,,,,,0,,,,
numDetects,78,,2,,1,2,,,,,1,,,,
DetectPos1,78,,0,,0,0,,,,,0,,,,
DetectSize1,78,,6,,20,6,,,,,20,,,,
DetectType1,78,,3,,3,3,,,,,3,,,,
DetectExtend1,78,,0,,0,0,,,,,0,,,,
DetectQueue1,78,,0,,0,0,,,,,0,,,,
DetectDelay1,78,,0,,0,0,,,,,0,,,,
DetectPos2,78,,94,,,94,,,,,,,,,
DetectSize2,78,,6,,,6,,,,,,,,,
DetectType2,78,,3,,,3,,,,,,,,,
DetectExtend2,78,,0,,,0,,,,,,,,,
Exit Lanes,78,,0,,,0,,,,,0,,,,
CBD,78,,0,,,,,,,,,,,,
Lane Group Flow,78,,1736,0,86,1277,,,,,291,,0,,
Up Node,80,,82,82,78,78,,,,,81,,81,,
Dest Node,80,,78,81,81,82,,,,,82,,78,,
Lanes,80,,2,0,1,2,,,,,1,,0,,
Shared,80,,2,,0,0,,,,,2,,,,
Width,80,,12,12,12,12,,,,,12,,12,,
Storage,80,,,,,,,,,,,,,,
Taper,80,,,,,,,,,,,,,,
StLanes,80,,,,,,,,,,,,,,
Grade,80,,,,,,,,,,,,,,
Speed,80,,45,,,45,,,,,45,,,,
Phase1,80,,2,,,6,,,,,8,,,,
PermPhase1,80,,,,6,,,,,,,,,,
LostTime,80,,4.5,4,4.5,4.5,,,,,4.5,,4,,
Lost Time Adjust,80,,0,0,0,0,,,,,0,,0,,
IdealFlow,80,,1900,1900,1900,1900,,,,,1900,,1900,,
SatFlow,80,,3518,0,1770,3539,,,,,1668,,0,,
SatFlowPerm,80,,3518,0,414,3539,,,,,1668,,0,,
Allow RTOR,80,,1,1,1,1,,,,,1,,1,,
SatFlowRTOR,80,,10,0,0,0,,,,,21,,0,,
Volume,80,,1063,42,48,712,,,,,27,,52,,
Peds,80,,0,0,0,0,,,,,0,,0,,
Bicycles,80,,0,0,0,0,,,,,0,,0,,
PHF,80,,0.92,0.92,0.92,0.92,,,,,0.92,,0.92,,
Growth,80,,100,100,100,100,,,,,100,,100,,
